# ----------------------------------------
# Engagement – Übersicht
# Konto: agentur-jg.de
# Property: agentur-jg.de
# ----------------------------------------
#  
# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Durchschnittliche Interaktionsdauer pro aktivem Nutzer
0000,0
0001,5
0002,0
0003,0
0004,0
0005,7
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,4.5
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,4
0020,0
0021,0.5
0022,0
0023,11
0024,17.25
0025,64.375
0026,7
0027,45

# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Sitzungen mit Interaktionen pro aktivem Nutzer
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0.5
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0.5
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,1
0020,0
0021,0.5
0022,0
0023,1
0024,0.75
0025,0.625
0026,1
0027,1

# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Durchschnittliche Interaktionsdauer pro Sitzung
0000,0
0001,5
0002,0
0003,0
0004,0
0005,7
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,4.5
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,4
0020,0
0021,0.5
0022,0
0023,11
0024,17.25
0025,57.22222222222222
0026,7
0027,45

#  
# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Aufrufe
0000,0
0001,1
0002,0
0003,0
0004,0
0005,6
0006,0
0007,0
0008,1
0009,0
0010,0
0011,0
0012,5
0013,0
0014,1
0015,0
0016,0
0017,0
0018,0
0019,5
0020,2
0021,3
0022,3
0023,2
0024,6
0025,11
0026,1
0027,3

# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Ereignisanzahl
0000,0
0001,5
0002,0
0003,0
0004,0
0005,30
0006,0
0007,0
0008,5
0009,0
0010,4
0011,0
0012,27
0013,0
0014,5
0015,0
0016,0
0017,0
0018,0
0019,22
0020,6
0021,9
0022,12
0023,8
0024,26
0025,46
0026,6
0027,10

#  
# Startdatum: 20260513
# Enddatum: 20260609
Ereignisname,Ereignisanzahl
page_view,50
user_engagement,39
session_start,32
first_visit,30
scroll,30
https://agentur-jg.de/,19
https://agentur-jg.de/datenschutzerklaer,5
ads_conversion_Kontakt_1,4
https://gtm-msr.appspot.com/render?id=GT,4
https://agentur-jg.de/kontakt/,3
https://agentur-jg.de/website-check/,3
click,1
https://agentur-jg.de/impressum/,1

#  
# Startdatum: 20260513
# Enddatum: 20260609
Seitentitel und Bildschirmklasse,Aufrufe
"Websites für KMU, die Anfragen bringen | Agentur JG",19
Impressum | Agentur JG,1
Jetzt Kontakt aufnehmen | Agentur JG,1

# Welchen Trend gibt es bei aktiven Nutzern?
# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,30 Tage,7 Tage,1 Tag
0000,10,4,0
0001,11,2,1
0002,11,2,0
0003,11,2,0
0004,11,2,0
0005,13,3,2
0006,13,3,0
0007,12,3,0
0008,13,3,1
0009,13,3,0
0010,14,4,1
0011,13,4,0
0012,15,4,2
0013,15,4,0
0014,15,5,1
0015,15,4,0
0016,15,4,0
0017,15,3,0
0018,15,3,0
0019,16,2,1
0020,18,4,2
0021,18,5,2
0022,21,8,3
0023,21,9,1
0024,22,13,4
0025,29,20,8
0026,30,20,1
0027,31,19,1

#  
# Startdatum: 20260513
# Enddatum: 20260609
X. Tag,Aktive Nutzer pro Tag / monatlich aktive Nutzer,Täglich aktive / wöchentlich aktive Nutzer,Wöchentlich aktive / monatlich aktive Nutzer
0000,0,0,0.4
0001,0.09090909090909091,0.5,0.18181818181818182
0002,0,0,0.18181818181818182
0003,0,0,0.18181818181818182
0004,0,0,0.18181818181818182
0005,0.15384615384615385,0.6666666666666666,0.23076923076923078
0006,0,0,0.23076923076923078
0007,0,0,0.25
0008,0.07692307692307693,0.3333333333333333,0.23076923076923078
0009,0,0,0.23076923076923078
0010,0.07142857142857142,0.25,0.2857142857142857
0011,0,0,0.3076923076923077
0012,0.13333333333333333,0.5,0.26666666666666666
0013,0,0,0.26666666666666666
0014,0.06666666666666667,0.2,0.3333333333333333
0015,0,0,0.26666666666666666
0016,0,0,0.26666666666666666
0017,0,0,0.2
0018,0,0,0.2
0019,0.0625,0.5,0.125
0020,0.1111111111111111,0.5,0.2222222222222222
0021,0.1111111111111111,0.4,0.2777777777777778
0022,0.14285714285714285,0.375,0.38095238095238093
0023,0.047619047619047616,0.1111111111111111,0.42857142857142855
0024,0.18181818181818182,0.3076923076923077,0.5909090909090909
0025,0.27586206896551724,0.4,0.6896551724137931
0026,0.03333333333333333,0.05,0.6666666666666666
0027,0.03225806451612903,0.05263157894736842,0.6129032258064516
